,User,Tweet
0,CitImmCanada,"@DenysProd 2/2 For case-specific information, please use our web form. The information we need you to include depends on the reason you’re contacting us https://t.co/V2e3FnXl21. You can also call us at 1-613-321-4243."
1,CitImmCanada,"@DenysProd 1/2 Hi. CUAET electronic visa applications will be processed within 14 days of receipt of a complete application, for standard, non complex cases. Note: applications that include an open work permit, or study permit, will likely take longer."
2,CitImmCanada,"@eireenien 2/2 For case-specific information, please use our web form. The information we need you to include depends on the reason you’re contacting us https://t.co/V2e3FnXl21. You can also call us at 1-613-321-4243."
3,CitImmCanada,"@eireenien 1/2 Hi. CUAET electronic visa applications will be processed within 14 days of receipt of a complete application, for standard, non complex cases. Note: applications that include an open work permit, or study permit, will likely take longer."
4,CitImmCanada,Our online services were recently unavailable. Be sure to clear your internet browser cache: https://t.co/6CRa8svrxW
5,CitImmCanada,ONLINE SERVICE HELP: Reminder - Online services will be unavailable between 12:00 am and 5:30 am EDT.
6,CitImmCanada,"@MissButlerEAL 2/2 If a client is in Afghanistan and not able to submit biometrics, officers should collect the Additional Background Information [IMM 0153 (PDF, 1.8 MB)] form in lieu of biometrics. https://t.co/jQuVxrB73O"
7,CitImmCanada,@MissButlerEAL 1/2 Hi. Did you apply under the public policy for extended families of former Afghan interpreters?
8,CitImmCanada,"@Lyuba_Petrenko 2/2 For case-specific information, please use our web form. The information we need you to include depends on the reason you’re contacting us https://t.co/V2e3FnXl21. You can also call us at 1-613-321-4243."
9,CitImmCanada,"@Lyuba_Petrenko 1/2 Hi. CUAET electronic visa applications will be processed within 14 days of receipt of a complete application, for standard, non complex cases. Note: applications that include an open work permit, or study permit, will likely take longer."
10,CitImmCanada,"@ifomenko_ 2/2 general guidance for IRCC programs. For information on foil-less travel for Ukrainians, please see: https://t.co/8PGUZAH4s7"
11,CitImmCanada,"@ifomenko_ 1/2 Hi. As part of the special Ukraine measures, a foil-less visa is available in certain instances. The social media team cannot comment on case specific inquiries, including whether this measure will be available to you, as we're here to provide"
12,CitImmCanada,"@Lyuba_Petrenko 2/2 provide general guidance for IRCC programs. For information on foil-less travel for Ukrainians, please see: https://t.co/8PGUZAH4s7"
