,Time,Retweets,User,Tweet
16,2022-04-26 13:00:01+00:00,37,Reuters,"Today, April 26, marks the 36th anniversary of the Chornobyl nuclear disaster caused by a meltdown in a reactor in… https://t.co/ormVjw8qjH"
15,2022-04-26 13:01:10+00:00,36,Reuters,Russia's 'victory' in Mariupol turns city's dreams to rubble https://t.co/PkVcDXQyuY https://t.co/6VElufAFtd
6,2022-04-26 13:29:04+00:00,35,Reuters,"Moscow accused NATO of engaging in a proxy battle against Russia by arming Ukraine, saying this had created a serio… https://t.co/smoaiSX3bn"
17,2022-04-26 12:56:37+00:00,32,Reuters,Health authorities around the world are investigating a mysterious increase in severe cases of hepatitis - inflamma… https://t.co/4VXkAxlg1z
8,2022-04-26 13:20:19+00:00,29,Reuters,"Karachi blast kills three Chinese, including Confucius centre head, and Pakistani https://t.co/Y84DloHEHu https://t.co/ekxykoBqIU"
4,2022-04-26 13:30:10+00:00,21,Reuters,"North Korea will speed up development of its nuclear arsenal, leader Kim Jong Un said while overseeing a huge milit… https://t.co/kDheiKFo15"
12,2022-04-26 13:10:07+00:00,18,Reuters,A previously unreported account of a 36-hour chase in June 2020 offers a rare glimpse into how conservation group A… https://t.co/b5IhIZsKck
0,2022-04-26 13:40:19+00:00,13,Reuters,"Second Ebola patient dies in northwestern Congo, WHO says https://t.co/Xiim6EPqhh https://t.co/OCwjipf7gX"
1,2022-04-26 13:40:00+00:00,11,Reuters,Russia accuses NATO of creating a serious risk of nuclear war. Ukraine prepares war crimes charges against Russian… https://t.co/pzBYB6WHgc
14,2022-04-26 13:05:19+00:00,11,Reuters,Beijing to test 20 mln for COVID in bid to avert Shanghai lockdown misery https://t.co/n7iaxNFfjW https://t.co/AGccfXlnKE
5,2022-04-26 13:30:00+00:00,10,Reuters,As plumes of smoke rose above the Azovstal steel plant where Ukrainian fighters are holed up in the port city of Ma… https://t.co/hoHUdZWT8z
9,2022-04-26 13:15:21+00:00,10,Reuters,HSBC puts 2022 buyback ambitions on ice as inflation accelerates https://t.co/pvjJwXgM0N https://t.co/qNpgwkyscy
13,2022-04-26 13:10:00+00:00,10,Reuters,"HSBC posted a 27% drop in quarterly profit and nixed the possibility of more buybacks this year, as rising inflatio… https://t.co/hJEV6scETX"
2,2022-04-26 13:35:20+00:00,9,Reuters,Fidelity to allow retirement savings allocation to bitcoin in 401(k) accounts https://t.co/WqijSHXVuM https://t.co/oB2kn9HFLr
10,2022-04-26 13:11:57+00:00,8,Reuters,RT @ReutersScience: LIVE: NASA briefing with Bill Nelson ahead of SpaceX launch to ISS https://t.co/kNR9crcyqb
11,2022-04-26 13:10:19+00:00,8,Reuters,Poland plans drastic cut to Warsaw flights in traffic controller row https://t.co/REdgDjiVQr https://t.co/UlaiAcdoXd
3,2022-04-26 13:30:22+00:00,7,Reuters,Warner Bros Discovery adds 2 mln subscribers in first quarter https://t.co/p1dgl9JMFv https://t.co/CM6m9OAPbw
18,2022-04-26 12:55:21+00:00,7,Reuters,"U.S. military landlord put families at risk even after fraud plea, Senate probe says https://t.co/k5RfUZiERE https://t.co/lKEqADEIYs"
19,2022-04-26 12:50:18+00:00,7,Reuters,"Maersk says shipping boom will stabilise in H2, revises up profit guidance https://t.co/3XJKZSbGNx https://t.co/Xh3hQCObH0"
